   1000      0.619887147679475E-02      0.469666919044836E-05
   1100      0.382221881904005E-02      0.299141395728908E-05
   1200      0.243635157491746E-02      0.199747089675359E-05
   1300      0.159632383211686E-02      0.132753220781891E-05
   1400      0.106864041194550E-02      0.913764380785656E-06
   1500      0.728422200333542E-03      0.656216979490705E-06




   1000      0.955794460303529E-02      0.780151833225560E-05
   1100      0.594692377953562E-02      0.513577958681289E-05
   1200      0.382316238648781E-02      0.340001002656014E-05
   1300      0.252284570821745E-02      0.230564839563887E-05
   1400      0.170340238837839E-02      0.161304967354542E-05
   1500      0.117603436230259E-02      0.115676894583434E-05

