 100000      0.249873162842815E+06      0.865598783563667E+00
  50000      0.994100154203618E+05      0.316250703024135E+00
  13000      0.131523226625786E+05      0.364132655653010E-01
  12000      0.115182151022778E+05      0.316160777853780E-01
  11000      0.995173453415447E+04      0.270400298197597E-01
  10000      0.845847121230071E+04      0.228199544042041E-01
   9000      0.704491312660178E+04      0.188352242653983E-01
   8000      0.571871335214526E+04      0.150591480978569E-01
   7000      0.448903479485692E+04      0.116311579501870E-01

 This data is combined from 
 PK_Plus_all.dat + PK_Regular_all.dat + PK_Delta_all.dat = PK_all.dat
