13000	 13200.27648 1.09630	    
12000	 11593.21651 0.96180	    
11000	 10043.00719 0.83187	    
10000	 8555.780521 0.708492	    
9000	 7138.794571 0.592303	    
8000	 5801.095435 0.480332	    
7000	 4552.843915 0.376237	    
