13000	 17262.30295	    0d0
12000	 15159.521001	    0d0
11000	 13135.207483	    0d0
10000	 11195.576041	    0d0
9000	 9350.894941	    0d0
8000	 7610.414638	    0d0
7000	 5987.596862	    0d0
NLO_CALCULATED

NLO_RESULT
13000	 16912.6792 2.2637	    
12000	 14854.8612 2.0662	    
11000	 12873.4315 1.8017	    
10000	 10974.7106 1.5322	    
9000	 9168.58886 1.26611	    
8000	 7464.10386 1.02909	    
7000	 5874.48612 0.80592	    

VA_RESULT
13000	 8388.8498 1.4946	    
12000	 7367.4046 1.2199	    
11000	 6382.1221 1.0607	    
10000	 5437.0808 0.9022	    
9000	 4536.66242 0.75705	    
8000	 3686.52477 0.60611	    
7000	 2893.12096 0.47080	    

CA_RESULT
13000	 9595.5343 1.6480	    
12000	 8403.4669 1.6160	    
11000	 7260.4203 1.4251	    
10000	 6170.9450 1.2198	    
9000	 5139.93642 0.99724	    
8000	 4172.33379 0.81456	    
7000	 3275.15191 0.64436	    

RA_RESULT
13000	 -722.08115 0.38152	    
12000	 -611.350499 0.383417	    
11000	 -507.334917 0.270258	    
10000	 -412.449759 0.182165	    
9000	 -325.703899 0.164263	    
8000	 -248.443922 0.151356	    
7000	 -180.676008 0.095672	    

LO_RESULT
13000	 13200.27648 1.09630	    
12000	 11593.21651 0.96180	    
11000	 10043.00719 0.83187	    
10000	 8555.780521 0.708492	    
9000	 7138.794571 0.592303	    
8000	 5801.095435 0.480332	    
7000	 4552.843915 0.376237	    
