13000	 9595.5343 1.6480	    
12000	 8403.4669 1.6160	    
11000	 7260.4203 1.4251	    
10000	 6170.9450 1.2198	    
9000	 5139.93642 0.99724	    
8000	 4172.33379 0.81456	    
7000	 3275.15191 0.64436	    


